,arr_city,dept_city,leg_id,price,stops,total_time_mins,arr_city_coords,dept_city_coords
211,Boston,San Francisco,c80430967750534fb3e71e95977d0e60,676.0,2,468,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
212,San Francisco,Boston,89217bbe2bf405b22d78ede663056e89,321.0,0,389,"(37.7749295, -122.4194155)","(42.3600825, -71.0588801)"
213,Boston,San Francisco,3b2de50f980a7bae1d988b8712707b3e,321.0,0,338,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
214,Boston,San Francisco,10243ecc9d5f77343fa444a9ccf24fdb,466.0,1,384,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
215,Boston,San Francisco,b30c494716ed2b2117e2e9396e1b5bb8,1130.0,2,530,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
216,Boston,San Francisco,5a285979709abdda53919cce9069525f,401.0,1,426,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
217,Boston,San Francisco,7b90a620bc3b69d56697954832fcc66a,467.0,1,406,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
218,Boston,San Francisco,68ccaadfc7c545483a441d5a51bd6329,458.0,0,347,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
219,Boston,San Francisco,17899d087376d2025aeed2ba802b6a42,367.0,0,336,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
220,San Francisco,Boston,554f0a578a068beb0e31dcf4efc4eaf3,367.0,0,398,"(37.7749295, -122.4194155)","(42.3600825, -71.0588801)"
221,Boston,San Francisco,b3c3d4c6efbb73be9077f22345d89cbf,620.0,1,422,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
222,Boston,San Francisco,404363fd045e4159a059547ae1c52c55,526.0,1,387,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
223,Boston,San Francisco,cb7a3f8905cbe775a438b5e86efd9dea,457.0,0,354,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
224,Boston,San Francisco,b54bbfb29613370bcedabd1bd06b3763,354.0,1,383,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
225,Boston,San Francisco,3a99c31c6a017bb679e9d1650f4fcbf4,467.0,1,392,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
226,Boston,San Francisco,06081adfa93a586c76cf292900d86e02,364.0,0,336,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
227,Boston,San Francisco,9407b382ac9637a09f3b7ad283d6ae6f,470.0,1,439,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
228,Boston,San Francisco,6f1670d5b7df373aabb66fd08a3ab614,431.0,1,410,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
229,Boston,San Francisco,31c3ebe88052abff70776ffa452b741e,397.0,1,441,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
230,Boston,San Francisco,7ca311dcdd106dff4aa578487bf4e10c,404.0,1,438,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
231,Boston,San Francisco,90f3e8b7350921fde1c4b67b1fe15293,339.0,1,394,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
232,Boston,San Francisco,25982a721e0c5f0bd07882533238eb03,674.0,1,390,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
233,Boston,San Francisco,88e92191d84bd42146f95f08c62a9af7,740.0,2,471,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
234,Boston,San Francisco,62ea01c063c98d64f4a3d249acdaf996,565.0,0,355,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
235,Boston,San Francisco,9077d9c1e7035baef9bc2a8e612b4344,352.0,1,458,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
236,Boston,San Francisco,a3bef89dcecfd67789af3ac1278f3508,322.0,1,450,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
237,Boston,San Francisco,97f7a0506b270c837d139862bea414e6,504.0,1,411,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
238,Boston,San Francisco,bf6eee130fc58fa4c4374615523b1d8c,342.0,0,350,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
239,Boston,San Francisco,72c6579e803e8eb060442defa0dc618d,367.0,0,333,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
240,Boston,San Francisco,69ce2ec6c70ae3922a4847ba28837822,471.0,1,412,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
241,Boston,San Francisco,131a1735d28a87989e520f08d04de05c,526.0,1,391,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
242,San Francisco,Boston,c498fcd4145948258689b99ae73f9e59,322.0,0,395,"(37.7749295, -122.4194155)","(42.3600825, -71.0588801)"
243,Boston,San Francisco,0227257e271051327da36af5c59ded38,466.0,1,386,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
244,San Francisco,Boston,4b90a2f80d0cdf9a67f6f2629491c319,367.0,0,394,"(37.7749295, -122.4194155)","(42.3600825, -71.0588801)"
245,Montreal,San Francisco,29954cc3016c9c3d260c525d1b4559a6,536.0,1,425,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
246,Montreal,San Francisco,bd20fa7ddc19a212d5e8c4ce2d09ea39,508.0,1,401,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
247,San Francisco,Montreal,bd574f62c1de2778b96fb66dfbb9488b,564.0,2,543,"(37.7749295, -122.4194155)","(45.5016889, -73.567256)"
248,Montreal,San Francisco,5a25ce241e62b59423eeceb3b2f8a2ec,659.0,0,328,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
249,Montreal,San Francisco,683f7f721914a4d0b2781f25d918ac4d,591.0,1,376,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
250,Montreal,San Francisco,f867ef930e8cfa4a1d8cf8a885ceac62,817.0,1,374,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
251,Montreal,San Francisco,af3147e7030d5830ed1ea2d5d2af2344,564.0,2,469,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
252,Montreal,San Francisco,f15baa1852c1b1d10d4375aab2f04d8d,566.0,1,391,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
253,Montreal,San Francisco,eef66cb55f35d144f2b61d5a208549c7,4680.0,0,328,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
254,Montreal,San Francisco,d17817901cc33fe20e5baba9dd9624c6,511.0,1,370,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
255,Montreal,San Francisco,91cf8489495cf7dd2af0b9d1b59bd5c6,579.0,1,443,"(45.5016889, -73.567256)","(37.7749295, -122.4194155)"
